"cluster","gene","log2 fold change","p-value","Upper bound","Lower bound"
"8","CDKN1A",10.1560545999217,3.43161328307819e-07,10.7001289534889,9.33994306957084
"8","VIM",2.11584470831702,3.75337011555041e-07,2.69014541486021,1.48109129582191
"8","XAF1",10.3071863648015,8.0400559197916e-07,10.8210343653927,9.21903765766701
"8","ARHGAP29",2.35765553212468,8.29149527556196e-07,3.92942588687448,1.60199670772574
"8","ANXA2",3.62716235711489,9.90113968048784e-07,10.5187708356332,2.08561835534106
"8","IFITM2",10.1862809528976,1.79376935564307e-06,10.7303553064649,8.97722683385936
"9","FANCD2",10.3676390707534,1.21627267834811e-09,10.8512607183687,9.18881130469106
"9","TFAP2C",10.4280917767053,1.21627267834811e-09,10.9419397772966,9.58175389337852
"9","NUSAP1",10.669902600513,1.21627267834811e-09,11.1232978951523,9.88401742313808
"9","CENPF",10.8210343653927,1.21627267834811e-09,11.2442033070562,10.0956018939698
"9","RRM2",10.9419397772966,1.21627267834811e-09,11.4557877778879,9.85379107016212
"9","CDK1",11.334882365984,1.21627267834811e-09,11.6371458957436,10.1560545999217
"9","MKI67",11.334882365984,1.21627267834811e-09,11.5464668368157,9.88401742313808
"9","TOP2A",11.334882365984,1.21627267834811e-09,11.6371458957436,9.97469648206594
"9","BIRC5",10.9117134243206,3.28302455218813e-09,11.3953350719359,9.7328856582583
"9","ZWINT",10.5792235415851,4.25912503431045e-09,11.36510871896,9.49107483445062
"9","ECT2",10.2467336588496,9.61006067064841e-08,10.7303553064649,8.97722683385936
"9","PRNP",-10.8814870713447,9.85489214336062e-08,-10.2467336588496,-11.0628451892004
"9","FAM111A",10.0956018939698,9.85489214336062e-08,10.7303553064649,8.85632142195554
"9","UHRF1",10.3071863648015,1.31542505693288e-07,11.1837506011043,9.33994306957084
"9","CLSPN",10.0653755409938,1.36990478403256e-07,10.8814870713447,9.09813224576319
"9","TAGLN2",10.0653755409938,2.13757946019269e-07,10.669902600513,4.11078400473022
"9","TNC",10.669902600513,2.64509423979529e-07,10.9721661302726,9.06790589278723
"9","UBE2C",10.9419397772966,3.24917562031296e-07,11.334882365984,9.67243295230639
"9","AURKB",10.3374127177775,4.40349366672547e-07,11.334882365984,9.64220659933043
"9","ERBB4",-10.7605816594408,5.02083237452491e-07,-10.1258282469457,-10.9419397772966
